time_ms,ax,ay,az,gx,gy,gz
20114,9.726,-2.223,1.734,2.786,0.870,-50.603
20164,10.366,-1.657,1.904,0.847,6.336,-38.855
20214,9.915,-1.344,1.636,-6.504,-3.649,-20.664
20264,9.930,-0.857,1.808,-1.000,-2.351,-19.298
20315,9.947,-1.169,1.847,-2.107,2.115,-12.641
20364,10.040,-0.541,1.760,0.832,0.611,-9.061
20414,9.856,-0.719,1.710,-1.168,-5.481,-13.626
20464,9.879,-0.831,1.832,-6.824,2.908,-1.031
20514,10.105,-0.695,1.794,-2.542,1.473,-4.931
20564,9.985,-0.860,1.921,-5.031,0.992,-8.840
20615,10.023,-0.627,1.787,-1.664,-3.015,-7.130
20664,9.982,-0.498,1.751,-1.939,-2.779,-5.504
20714,9.958,-0.630,1.871,-1.885,1.366,-9.656
20764,10.193,-0.489,1.712,-2.260,0.603,-3.473
20814,9.970,-0.472,1.849,-4.260,0.496,-3.061
20865,10.059,-0.366,1.835,0.084,-0.458,-12.565
20915,10.143,-0.146,1.791,1.153,-0.198,-22.885
20964,10.155,0.323,1.880,4.336,-5.611,-30.015
21014,9.951,0.237,1.626,4.221,-5.557,-37.221
21064,10.121,0.812,1.550,9.603,-5.237,-51.489
21114,10.339,0.307,1.530,0.740,-6.321,-35.954
21165,9.542,1.550,1.174,5.595,-4.649,-32.939
21215,10.169,1.106,1.265,-1.847,0.855,-36.099
21265,9.817,1.921,1.516,4.611,0.534,-42.656
21315,9.949,1.777,1.300,-6.015,3.000,-47.779
21365,9.309,3.188,1.406,1.954,6.107,-39.908
21415,9.669,2.505,1.542,4.069,5.771,-76.466
21466,9.360,3.715,1.578,-0.489,10.710,-54.298
21515,9.288,3.983,1.552,2.504,6.290,-48.015
21565,8.761,4.862,1.571,-1.664,0.191,-44.084
21615,8.924,4.615,1.629,3.733,6.031,-59.603
21665,8.368,5.358,1.502,0.481,0.534,-42.489
21715,8.215,5.197,1.684,0.779,6.130,-44.824
21766,8.124,5.937,1.789,2.221,7.290,-42.267
21815,7.889,5.796,1.665,1.947,7.290,-58.137
21865,7.343,6.182,1.653,1.084,10.924,-46.824
21915,7.458,6.893,1.775,-1.206,10.344,-47.901
21965,6.646,7.178,2.000,8.374,11.092,-66.687
22016,6.881,7.183,1.703,1.450,14.931,-63.038
22066,5.851,7.592,1.650,-7.183,8.534,-19.458
22115,5.839,7.987,1.887,1.817,4.977,-32.847
22165,5.772,8.019,1.830,-0.511,5.824,-17.847
22215,5.940,7.937,2.000,4.435,8.511,-43.115
22265,5.283,8.392,1.995,9.695,8.206,-48.809
22316,5.444,8.110,1.794,4.015,-4.710,-51.321
22366,4.050,8.749,1.803,-4.015,-3.046,-13.847
22415,4.213,8.675,1.686,-0.023,1.023,-9.313
22465,4.622,8.909,1.863,-3.634,1.618,-7.015
22515,4.582,8.596,1.734,-0.252,2.435,-7.573
22565,4.579,8.490,1.732,-5.588,-2.435,-4.160
22616,4.464,8.495,1.633,-2.107,0.405,2.901
22665,4.558,8.519,1.815,-13.160,-1.321,16.550
22715,4.771,8.598,1.784,-9.382,1.702,24.389
22765,4.951,8.651,1.938,-8.198,1.802,37.481
22815,5.219,8.586,2.165,-9.122,7.092,36.847
22865,5.255,8.112,1.686,-5.344,4.527,25.710
22916,6.016,7.731,2.120,1.084,9.000,37.382
22965,6.217,7.657,2.263,-19.824,3.573,62.137
23015,6.095,7.757,1.887,-14.336,-4.160,73.740
23065,6.912,6.934,2.244,-21.840,-1.000,61.496
23115,7.089,6.603,2.074,-11.328,-4.534,50.962
23165,7.556,5.892,2.381,-30.863,-7.427,66.519
23216,7.928,5.911,2.194,-28.015,-10.771,68.969
23265,8.215,4.871,2.187,-27.290,-9.924,65.504
23315,9.020,5.018,2.867,-24.382,-10.885,58.840
23365,8.931,4.627,2.467,-15.260,-12.893,34.137
23415,8.818,4.153,2.326,-18.802,-11.733,42.687
23465,9.175,3.772,2.278,-18.412,-8.580,47.382
23516,9.238,3.327,2.373,-14.237,-6.260,40.840
23565,9.640,2.814,2.093,-15.603,-14.756,47.038
23615,9.460,2.565,2.223,-13.733,-6.176,33.374
23665,9.939,2.287,2.048,-9.626,-8.397,34.954
